Algorithm,AUC_C1,Speed_C1,TAC_C1,AUC_C2,Speed_C2,TAC_C2,AUC_C3,Speed_C3,TAC_C3,AUC_C4,Speed_C4,TAC_C4,Mean_AUC_rank,Mean_Speed_rank
GWO,0.0000,0,25620.5373,0.0003,3,22785.9090,0.0004,2,22785.9381,0.0061,27,20659.3331,1.5000,1.5000
BBO,0.0000,0,25620.5734,0.0009,4,22789.0273,0.0010,0,22787.0528,0.0052,107,20682.7562,3.0000,1.7500
AO,0.0000,0,25620.5376,0.0043,59,22791.2599,0.0025,8,22789.6935,0.0248,347,20727.6785,3.5000,3.2500
ARO,0.0000,0,25620.5372,0.0004,4,22787.3236,0.0004,3,22787.6455,0.0027,11,20664.7807,2.0000,1.7500
