,GWO,AO,BBO,ARO
0,25621.477369633,25623.57750087785,25620.766605207486,25625.28416137918
1,25621.477369633,25621.13891053054,25620.766605207486,25624.21106875321
2,25621.477369633,25621.13891053054,25620.766605207486,25620.539348641796
3,25621.477369633,25620.538626089103,25620.766605207486,25620.539348641796
4,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
5,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
6,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
7,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
8,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
9,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
10,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
11,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
12,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
13,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
14,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
15,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
16,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
17,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
18,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
19,25620.54014330178,25620.538626089103,25620.766605207486,25620.539348641796
20,25620.53923491794,25620.538626089103,25620.766605207486,25620.539348641796
21,25620.53923491794,25620.538626089103,25620.766605207486,25620.539348641796
22,25620.53923491794,25620.538626089103,25620.766605207486,25620.539348641796
23,25620.53923491794,25620.538626089103,25620.766605207486,25620.539348641796
24,25620.53923491794,25620.538626089103,25620.766605207486,25620.539348641796
25,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
26,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
27,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
28,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
29,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
30,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
31,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
32,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
33,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
34,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
35,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
36,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
37,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
38,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
39,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
40,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
41,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
42,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
43,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
44,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
45,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
46,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
47,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
48,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
49,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
50,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
51,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
52,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
53,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
54,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
55,25620.53923491794,25620.537551150912,25620.766605207486,25620.539348641796
56,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
57,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
58,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
59,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
60,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
61,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
62,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
63,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
64,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
65,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
66,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
67,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
68,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
69,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
70,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
71,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
72,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
73,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
74,25620.53761350562,25620.537551150912,25620.766605207486,25620.539348641796
75,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
76,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
77,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
78,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
79,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
80,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
81,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
82,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
83,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
84,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
85,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
86,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
87,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
88,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
89,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
90,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
91,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
92,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
93,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
94,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
95,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
96,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
97,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
98,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
99,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
100,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
101,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
102,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
103,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
104,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
105,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
106,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
107,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
108,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
109,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
110,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
111,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
112,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
113,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
114,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
115,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
116,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
117,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
118,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
119,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
120,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
121,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
122,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
123,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
124,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
125,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
126,25620.537461874195,25620.537551150912,25620.766605207486,25620.539348641796
127,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
128,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
129,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
130,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
131,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
132,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
133,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
134,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
135,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
136,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
137,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
138,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
139,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
140,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
141,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
142,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
143,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
144,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
145,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
146,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
147,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
148,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
149,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
150,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
151,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
152,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
153,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
154,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
155,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
156,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
157,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
158,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
159,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
160,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
161,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
162,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
163,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
164,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
165,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
166,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
167,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
168,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
169,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
170,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
171,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
172,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
173,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
174,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
175,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
176,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
177,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
178,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
179,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
180,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
