,BBO,GWO,AO,ARO
0,24110.817632337414,23819.125478615126,23935.4325260279,23940.549132881664
1,23897.872922316747,23115.759425672375,23935.4325260279,23462.229747920253
2,23721.723531213822,23065.823388265962,23935.4325260279,23182.344240127568
3,23158.130983671574,22827.654308045123,23566.56393305807,23078.593341247317
4,22937.400513466382,22795.89099327001,23566.56393305807,22997.23075227575
5,22937.400513466382,22795.89099327001,23289.27787264786,22997.23075227575
6,22937.400513466382,22795.89099327001,23281.954709680147,22949.866722851468
7,22864.41689780324,22795.500309827272,23256.306864228507,22881.624117471067
8,22847.47581333103,22795.500309827272,23256.306864228507,22843.542325098744
9,22844.443947402287,22795.500309827272,23256.306864228507,22843.542325098744
10,22844.443947402287,22795.500309827272,23226.891016189413,22843.542325098744
11,22844.443947402287,22795.500309827272,23226.891016189413,22811.240084270918
12,22844.443947402287,22795.500309827272,23226.891016189413,22811.240084270918
13,22844.443947402287,22795.500309827272,23226.891016189413,22811.240084270918
14,22844.443947402287,22795.500309827272,23226.891016189413,22811.240084270918
15,22844.443947402287,22795.500309827272,23226.891016189413,22811.240084270918
16,22844.443947402287,22795.500309827272,23091.28809942741,22811.240084270918
17,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
18,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
19,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
20,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
21,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
22,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
23,22844.443947402287,22795.500309827272,23091.28809942741,22809.965307388367
24,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
25,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
26,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
27,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
28,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
29,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
30,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
31,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
32,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
33,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
34,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
35,22844.443947402287,22789.755559204754,23091.28809942741,22808.586499416924
36,22844.443947402287,22789.755559204754,23091.28809942741,22793.087673296184
37,22844.443947402287,22789.755559204754,23091.28809942741,22793.087673296184
38,22828.20251689315,22789.755559204754,23091.28809942741,22793.087673296184
39,22828.20251689315,22789.755559204754,23091.28809942741,22793.087673296184
40,22828.20251689315,22789.755559204754,23091.28809942741,22793.087673296184
41,22828.20251689315,22789.755559204754,23091.28809942741,22793.087673296184
42,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
43,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
44,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
45,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
46,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
47,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
48,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
49,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
50,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
51,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
52,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
53,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
54,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
55,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
56,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
57,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
58,22828.20251689315,22789.755559204754,23047.805358652833,22788.95727577727
59,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
60,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
61,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
62,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
63,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
64,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
65,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
66,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
67,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
68,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
69,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
70,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
71,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
72,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
73,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
74,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
75,22828.20251689315,22789.755559204754,23004.96787980222,22788.95727577727
76,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
77,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
78,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
79,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
80,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
81,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
82,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
83,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
84,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
85,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
86,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
87,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
88,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
89,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
90,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
91,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
92,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
93,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
94,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
95,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
96,22828.20251689315,22789.755559204754,22894.778702864267,22788.95727577727
