,GWO,AO,ARO,BBO
0,23088.9390026103,23931.34465734519,23438.445745676254,22880.12933012303
1,23031.295268159556,23470.3065537965,23164.878517743728,22880.12933012303
2,22908.465641687955,23470.3065537965,23147.069604921846,22880.12933012303
3,22908.465641687955,23470.3065537965,22987.07322817974,22880.12933012303
4,22872.28432749216,23465.817009589817,22973.526877691373,22880.12933012303
5,22872.28432749216,23448.304008715968,22973.526877691373,22880.12933012303
6,22849.6948008455,23283.985033487224,22973.526877691373,22880.12933012303
7,22849.6948008455,23283.985033487224,22973.526877691373,22880.12933012303
8,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
9,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
10,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
11,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
12,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
13,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
14,22816.099528214152,22865.103803316382,22921.36223438367,22880.12933012303
15,22816.099528214152,22865.103803316382,22855.975645916213,22880.12933012303
16,22816.099528214152,22865.103803316382,22855.975645916213,22880.12933012303
17,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
18,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
19,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
20,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
21,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
22,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
23,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
24,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
25,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
26,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
27,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
28,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
29,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
30,22816.099528214152,22865.103803316382,22800.520596884082,22880.12933012303
31,22816.099528214152,22865.103803316382,22799.04505273899,22880.12933012303
32,22816.099528214152,22865.103803316382,22799.04505273899,22880.12933012303
33,22816.099528214152,22865.103803316382,22799.04505273899,22880.12933012303
34,22816.099528214152,22865.103803316382,22799.04505273899,22880.12933012303
35,22816.099528214152,22865.103803316382,22799.04505273899,22880.12933012303
36,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
37,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
